RNA_directory_name  Multiomic_series  ATAC_directory_name  age_status
ENCSR906MRL         ENCSR100UGC       ENCSR686FZG          Postnatal
ENCSR084XKX         ENCSR870POU       ENCSR320QOP          Postnatal
ENCSR352DXB         ENCSR573DJW       ENCSR161IHV          Postnatal
ENCSR237HWJ         ENCSR371YIY       ENCSR101LQQ          Postnatal
ENCSR485GOL         ENCSR323AMA       ENCSR912XZH          Postnatal
ENCSR405YKM         ENCSR793DNM       ENCSR318ERF          Postnatal
ENCSR994VEG         ENCSR703OZJ       ENCSR951AID          Postnatal
ENCSR489URW         ENCSR725MMM       ENCSR642ZIC          Postnatal
ENCSR231FNL         ENCSR188XNY       ENCSR987PQH          Postnatal
ENCSR762LML         ENCSR196LCO       ENCSR412VTJ          Postnatal
ENCSR076ZLE         ENCSR716XVF       ENCSR233KYH          Postnatal
ENCSR751BHQ         ENCSR768WQT       ENCSR657WLS          Postnatal
ENCSR093GXF         ENCSR884JZC       ENCSR321AHR          Postnatal
ENCSR398YBK         ENCSR673CAA       ENCSR511VYN          Postnatal
ENCSR481QQR         ENCSR568QKW       ENCSR131DKN          Postnatal
ENCSR439ZVQ         ENCSR822CXI       ENCSR084DVM          Postnatal
ENCSR157FDD         ENCSR243CWX       ENCSR702ELN          Postnatal
ENCSR630LZS         ENCSR707XPP       ENCSR627IOJ          Postnatal
ENCSR654MFX         ENCSR529JMP       ENCSR617IKC          Postnatal
ENCSR777RUZ         ENCSR316UWS       ENCSR273DAC          Postnatal
ENCSR328GTN         ENCSR882CKY       ENCSR406CJH          Postnatal
ENCSR788SNY         ENCSR549BXX       ENCSR594WKI          Postnatal
ENCSR681GPY         ENCSR239BIN       ENCSR280RVT          Postnatal
ENCSR175TRJ         ENCSR196JUO       ENCSR061BEN          Postnatal
ENCSR814LMX         ENCSR954THM       ENCSR088ZOL          Postnatal
ENCSR727OYO         ENCSR508WRP       ENCSR785BSP          Postnatal
ENCSR349AHE         ENCSR938QYK       ENCSR033ENA          Postnatal
ENCSR455MGH         ENCSR889JIE       ENCSR495SMB          Postnatal
ENCSR919ENI         ENCSR664QSO       ENCSR769WLL          Postnatal
ENCSR067BOK         ENCSR730AXV       ENCSR185NXG          Postnatal
ENCSR763BII         ENCSR487MGY       ENCSR494FFG          Postnatal
ENCSR259VOY         ENCSR300BCB       ENCSR878VJS          Postnatal
ENCSR962JKS         ENCSR966RKP       ENCSR020FAW          Postnatal
ENCSR204RHR         ENCSR861PPJ       ENCSR079TCC          Postnatal
ENCSR002SMQ         ENCSR305JVN       ENCSR531ZKI          Postnatal
ENCSR176WWW         ENCSR983ILQ       ENCSR862IWS          Postnatal
ENCSR801DHT         ENCSR265ZRW       ENCSR435CGY          Postnatal
ENCSR488UUT         ENCSR060VMC       ENCSR305KUV          Postnatal
ENCSR138JCM         ENCSR137EAT       ENCSR722PYH          Postnatal
ENCSR190TRK         ENCSR891TJB       ENCSR718YPN          Postnatal
ENCSR755CIF         ENCSR245BNT       ENCSR918VTH          Postnatal
ENCSR008CVR         ENCSR056LAM       ENCSR450VTB          Postnatal
ENCSR991LHO         ENCSR629CZM       ENCSR173UUN          Postnatal
ENCSR273JWD         ENCSR623PHF       ENCSR175JHG          Postnatal
ENCSR851JBE         ENCSR407GDZ       ENCSR270CUT          Postnatal
ENCSR753YOZ         ENCSR038TKH       ENCSR051ECW          Postnatal
ENCSR345CVL         ENCSR000ULP       ENCSR958FFE          Postnatal
ENCSR085XEW         ENCSR488WYF       ENCSR701JAT          Postnatal
ENCSR980OCK         ENCSR523NMC       ENCSR546WZB          Postnatal
ENCSR540DHJ         ENCSR535LSU       ENCSR750YRO          Postnatal
ENCSR012APQ         ENCSR956ZER       ENCSR668XPI          Postnatal
ENCSR056QLB         ENCSR418BIA       ENCSR003DSI          Postnatal
ENCSR203YOV         ENCSR304NKV       ENCSR960IDI          Postnatal
ENCSR899GYX         ENCSR793XGJ       ENCSR506ROZ          Postnatal
ENCFF776DQR         ENCSR302EOG       ENCFF401MVS          Fetal
ENCFF802AQC         ENCSR265GWL       ENCFF946HNM          Fetal
ENCFF727JRO         ENCSR431SGT       ENCFF904ARJ          Fetal
ENCFF684YRB         ENCSR175MUF       ENCFF658TEH          Fetal
ENCFF248EWR         ENCSR001TRT       ENCFF908JHS          Fetal
ENCFF775ANN         ENCSR300ZVZ       ENCFF851VTB          Fetal
ENCFF849ALE         ENCSR091PMJ       ENCFF958UTA          Fetal
ENCFF069ATM         ENCSR339CWB       ENCFF575DGZ          Fetal
ENCFF805YRY         ENCSR234APA       ENCFF109FJX          Fetal
