,cell_type,category,value,direction,contrast
0,Cardiomyocyte,overlap_up_disease,35.04492939666239,up,disease
1,Endothelial,overlap_up_disease,28.451612903225808,up,disease
2,Fibroblast,overlap_up_disease,38.52494577006508,up,disease
3,Lymphoid,overlap_up_disease,,up,disease
4,Myeloid,overlap_up_disease,2.197802197802198,up,disease
5,Pericyte,overlap_up_disease,44.44444444444444,up,disease
6,Cardiomyocyte,overlap_down_disease,52.51771726967549,down,disease
7,Endothelial,overlap_down_disease,40.753828032979975,down,disease
8,Fibroblast,overlap_down_disease,61.471861471861466,down,disease
9,Lymphoid,overlap_down_disease,,down,disease
10,Myeloid,overlap_down_disease,19.359698681732578,down,disease
11,Pericyte,overlap_down_disease,41.37931034482759,down,disease
12,Cardiomyocyte,overlap_up_fetal,1.060935799782372,up,fetal
13,Endothelial,overlap_up_fetal,1.6158581269236405,up,fetal
14,Fibroblast,overlap_up_fetal,6.703404544425153,up,fetal
15,Lymphoid,overlap_up_fetal,0.0,up,fetal
16,Myeloid,overlap_up_fetal,0.2579218865143699,up,fetal
17,Pericyte,overlap_up_fetal,0.023236900197513653,up,fetal
18,Cardiomyocyte,overlap_down_fetal,2.5300988319856246,down,fetal
19,Endothelial,overlap_down_fetal,5.637244918740581,down,fetal
20,Fibroblast,overlap_down_fetal,15.095552424040148,down,fetal
21,Lymphoid,overlap_down_fetal,0.0,down,fetal
22,Myeloid,overlap_down_fetal,5.018551064245265,down,fetal
23,Pericyte,overlap_down_fetal,0.1663316931180262,down,fetal
