"","clusters"
"GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS",1
"GOBP_2FE_2S_CLUSTER_ASSEMBLY",2
"GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",3
"GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS",4
"GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION",5
"GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION",6
"GOBP_4FE_4S_CLUSTER_ASSEMBLY",2
"GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III",7
"GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS",8
"GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION",9
"GOBP_7_METHYLGUANOSINE_RNA_CAPPING",10
"GOBP_ABSCISSION",11
"GOBP_ACETATE_ESTER_METABOLIC_PROCESS",12
"GOBP_ACETATE_ESTER_TRANSPORT",13
"GOBP_ACETYLCHOLINE_SECRETION",13
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS",14
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE",14
"GOBP_ACETYL_COA_METABOLIC_PROCESS",14
"GOBP_ACIDIC_AMINO_ACID_TRANSPORT",15
"GOBP_ACID_SECRETION",16
"GOBP_ACINAR_CELL_DIFFERENTIATION",17
"GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS",18
"GOBP_ACROSOME_ASSEMBLY",19
"GOBP_ACROSOME_REACTION",20
"GOBP_ACTIN_CROSSLINK_FORMATION",21
"GOBP_ACTIN_FILAMENT_BASED_MOVEMENT",22
"GOBP_ACTIN_FILAMENT_BASED_PROCESS",23
"GOBP_ACTIN_FILAMENT_BASED_TRANSPORT",24
"GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",25
"GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION",26
"GOBP_ACTIN_FILAMENT_NETWORK_FORMATION",27
"GOBP_ACTIN_FILAMENT_ORGANIZATION",23
"GOBP_ACTIN_FILAMENT_SEVERING",28
"GOBP_ACTIN_MEDIATED_CELL_CONTRACTION",22
