,cell_type,contrast1,contrast2,up_both,down_both,up_1_down_2,down_1_up_2,consistent_ratio,z_score,p_value
0,Adipocyte,aging,disease,0,34,0,0,1.0,3.025628832257989,0.0024811667662025805
1,Cardiomyocyte,aging,disease,18,26,2,6,0.8461538461538461,3.73763411125789,0.00018576000978764995
2,Cardiomyocyte,aging,development,6,21,17,33,0.35064935064935066,-2.5770646818268,0.009964330287017376
3,Cardiomyocyte,disease,development,442,339,219,103,0.7080689029918404,13.345356107298226,1e-16
4,Endocardial,aging,disease,0,1,0,0,1.0,4.111608630188371,3.929119298207162e-05
5,Endocardial,aging,development,0,0,1,2,0.0,-0.731979831928887,0.46418087768509086
6,Endocardial,disease,development,296,259,192,226,0.5704008221993834,3.692615594808479,0.00022195939713842705
7,Endothelial,aging,disease,0,0,0,0,0.0,-0.24467714066646543,0.8067064292317405
8,Endothelial,aging,development,0,0,0,1,0.0,-0.36914198682694466,0.712021894540467
9,Endothelial,disease,development,276,327,65,98,0.7872062663185379,13.910888315310109,1e-16
10,Epicardial,aging,disease,0,0,0,0,0.0,-0.017323106736613452,0.9861788518579597
11,Epicardial,aging,development,0,0,0,0,0.0,-0.11949450488333269,0.9048835933127866
12,Epicardial,disease,development,0,45,0,1,0.9782608695652174,3.606809486590442,0.00030998508204849173
13,Fibroblast,aging,disease,22,11,3,3,0.8461538461538461,3.310489835403362,0.0009313283466036992
14,Fibroblast,aging,development,15,15,14,15,0.5084745762711864,0.3250983233961573,0.7451066578364114
15,Fibroblast,disease,development,540,614,258,213,0.7101538461538461,15.077892647918155,1e-16
16,LEC,aging,disease,0,2,0,0,1.0,2.7952619919392174,0.005185767068645486
17,LEC,aging,development,0,1,0,0,1.0,3.8275798218927886,0.00012940942354400242
18,LEC,disease,development,20,12,3,3,0.8421052631578947,3.1679320850472314,0.0015352738077771821
19,Lymphoid,aging,disease,0,0,0,0,0.0,-0.09942690876363526,0.9207993185109624
20,Lymphoid,aging,development,0,0,0,0,0.0,-0.1655481600311726,0.8685125465019279
21,Lymphoid,disease,development,29,24,2,11,0.803030303030303,4.7143341040346005,2.4250248311652456e-06
22,Mast,aging,disease,0,0,0,0,0.0,,
23,Myeloid,aging,disease,10,20,1,0,0.967741935483871,3.9957419809537718,6.449194457380791e-05
24,Myeloid,aging,development,2,18,7,6,0.6060606060606061,1.0649398756122639,0.2869031386421472
25,Myeloid,disease,development,135,193,12,59,0.8220551378446115,10.170320860532906,1e-16
26,Neuronal,aging,disease,0,18,0,0,1.0,2.288896056687327,0.022085392438971452
27,Neuronal,aging,development,0,26,0,4,0.8666666666666667,4.004604567722917,6.212130782090597e-05
28,Neuronal,disease,development,110,232,25,29,0.8636363636363636,13.851220007293474,1e-16
29,Pericyte,aging,disease,8,4,0,1,0.9230769230769231,2.5948184191915025,0.00946409037294349
30,Pericyte,aging,development,1,1,1,5,0.25,-0.7315891332366814,0.46441938286640294
31,Pericyte,disease,development,168,176,78,121,0.6335174953959485,5.387149720982857,7.158380133098774e-08
32,vSMC,aging,disease,0,0,0,0,0.0,-0.15363446548477733,0.8778979600241577
33,vSMC,aging,development,0,0,0,0,0.0,-0.27992090511907936,0.7795381881482992
34,vSMC,disease,development,164,160,23,46,0.8244274809160306,10.715479147527269,1e-16
