"","gene","coefficientValue","q_val","pval","cellType","Effect_Magnitude","Effect_Direction"
"1","RIMS1",0.0334902355018881,0.0305076991410433,5.76269345316269e-06,"Endothelium",0.0334902355018881,"Positive"
"7","LRP1B",0.026482854406977,0.0305076991410433,4.26713019712876e-06,"Endothelium",0.026482854406977,"Positive"
"10589","XG",0.0348234608660231,0.000495311115864487,5.36965839185208e-08,"Fibroblast",0.0348234608660231,"Positive"
"10591","PTCHD4",0.029097607756332,0.0779632192693181,0.000384921677305029,"Fibroblast",0.029097607756332,"Positive"
"10593","LRRIQ1",0.0266850083009939,0.000697540974223532,1.93564232972953e-07,"Fibroblast",0.0266850083009939,"Positive"
"10594","TMEM132D",0.0264585467245576,0.000495311115864487,9.16309528932544e-08,"Fibroblast",0.0264585467245576,"Positive"
"10595","EPHA6",0.0261866425380367,0.00516764913391735,3.34599425931194e-06,"Fibroblast",0.0261866425380367,"Positive"
"10598","SNTG1",0.0254887904197579,0.0556197431314086,0.00015434208620315,"Fibroblast",0.0254887904197579,"Positive"
"10600","ARHGEF28",0.0250654985221258,0.0286241234272434,6.29201123105339e-05,"Fibroblast",0.0250654985221258,"Positive"
"10602","LMX1A",0.0242218907369364,0.0682261993930396,0.000258743333189772,"Fibroblast",0.0242218907369364,"Positive"
"10604","LIPH",0.0240642991422829,0.0611675876878857,0.000187552197705127,"Fibroblast",0.0240642991422829,"Positive"
"10606","SHANK2",0.0223513905664213,0.00859139963714889,9.5362867122178e-06,"Fibroblast",0.0223513905664213,"Positive"
"10609","TMEM100",0.0220885613304609,0.0779632192693181,0.00040868592808822,"Fibroblast",0.0220885613304609,"Positive"
"10613","CP",0.0213631619808401,0.0223232611043056,3.99442432581868e-05,"Fibroblast",0.0213631619808401,"Positive"
"10616","PRUNE2",0.0211014292151092,0.00392932721706215,2.18073844254675e-06,"Fibroblast",0.0211014292151092,"Positive"
"10617","PPP2R2B",0.0208605726131093,0.042549256713633,0.000110200646376998,"Fibroblast",0.0208605726131093,"Positive"
"10618","ANO3",-0.0203364416729241,0.0779632192693181,0.000393772134067129,"Fibroblast",0.0203364416729241,"Negative"
"10624","ENPP1",0.0193017739580975,0.0779632192693181,0.000384152034204459,"Fibroblast",0.0193017739580975,"Positive"
"10625","NKAIN3",-0.0192814413015015,0.0286241234272434,6.2086088127652e-05,"Fibroblast",0.0192814413015015,"Negative"
"10627","BMPR1B",0.0190055396209726,0.0632366814207917,0.000226182236937475,"Fibroblast",0.0190055396209726,"Positive"
"10634","KLF4",0.0184603093984525,0.0753606861118006,0.000292771142049359,"Fibroblast",0.0184603093984525,"Positive"
"10636","TMEM59L",-0.018314505394869,0.0793773130571353,0.000467280481243734,"Fibroblast",0.018314505394869,"Negative"
"10640","THSD7B",0.0179371125084005,0.0226812262552813,4.40575109944415e-05,"Fibroblast",0.0179371125084005,"Positive"
"10662","CTH",-0.0159776971018655,0.0660804294863461,0.000244493310466547,"Fibroblast",0.0159776971018655,"Negative"
"10670","ANKFN1",0.0154502191347473,0.0363893315409302,8.75148108467474e-05,"Fibroblast",0.0154502191347473,"Positive"
"10675","TP63",0.0152015170102543,0.00314139286962984,1.4528687770002e-06,"Fibroblast",0.0152015170102543,"Positive"
"10679","CTNNA2",0.0150445817246326,0.0779632192693181,0.00038487882754555,"Fibroblast",0.0150445817246326,"Positive"
"10681","SGCZ",0.0149493593161138,0.0793773130571353,0.000469905469952517,"Fibroblast",0.0149493593161138,"Positive"
"10690","CACNA1A",0.0145888112807082,0.0632366814207917,0.000217434043477273,"Fibroblast",0.0145888112807082,"Positive"
"10691","SPON1",-0.014573224733435,0.0918924680463458,0.000586493413671063,"Fibroblast",0.014573224733435,"Negative"
"10695","RASGRF2",0.0144524515374732,0.0779632192693181,0.000405594121458945,"Fibroblast",0.0144524515374732,"Positive"
"10706","TENM1",0.0138523585798844,0.0611675876878857,0.000192368696826206,"Fibroblast",0.0138523585798844,"Positive"
"10740","CREB5",0.0127467607440163,0.00810337097931654,7.49548698484556e-06,"Fibroblast",0.0127467607440163,"Positive"
"10767","IRAK2",0.0119441258985735,0.0779632192693181,0.000430551858636766,"Fibroblast",0.0119441258985735,"Positive"
"10768","COPE",0.0119221864422499,0.0779632192693181,0.000424813950728697,"Fibroblast",0.0119221864422499,"Positive"
"10770","RANBP17",-0.0118537522896653,0.00859139963714889,9.03926304534839e-06,"Fibroblast",0.0118537522896653,"Negative"
"10773","ZMAT3",0.0118167147922651,0.0779632192693181,0.000324164101176803,"Fibroblast",0.0118167147922651,"Positive"
"10779","GLIPR1",0.0117314163035924,0.0218516877564142,3.43611776763521e-05,"Fibroblast",0.0117314163035924,"Positive"
"10788","TNXB",0.0115958569676653,0.0779632192693181,0.000416845183560312,"Fibroblast",0.0115958569676653,"Positive"
"10806","PHKG1",0.0112799877755687,0.0793773130571353,0.000454721012524732,"Fibroblast",0.0112799877755687,"Positive"
"10856","NTN4",0.0106377404909325,0.0779632192693181,0.000382156887118635,"Fibroblast",0.0106377404909325,"Positive"
"10915","C8orf88",-0.0100166745161825,0.0176146798974175,2.31141695467745e-05,"Fibroblast",0.0100166745161825,"Negative"
"10958","TMEM268",-0.00948496309394044,0.0632366814207917,0.000224993580555436,"Fibroblast",0.00948496309394044,"Negative"
"11223","UBE2D4",0.00753128656390713,0.0779632192693181,0.000432688294899555,"Fibroblast",0.00753128656390713,"Positive"
"11303","DOK6",-0.00716282672167804,0.0967887418374103,0.000626696136214848,"Fibroblast",0.00716282672167804,"Negative"
"11365","MCCC2",-0.00688850379892909,0.0611675876878857,0.000178661680663073,"Fibroblast",0.00688850379892909,"Negative"
"11367","ORMDL1",-0.00688431718419056,0.0779632192693181,0.000394680736905682,"Fibroblast",0.00688431718419056,"Negative"
