,gene,coefficientValue,q_val,pval,cellType,Effect_Magnitude,Effect_Direction
1,KDM5D,4.657709301,4.12E-42,2.72E-45,Endothelium,4.657709301,Positive
2,UTY,4.630136238,9.95E-58,4.70E-61,Endothelium,4.630136238,Positive
3,ZFY,4.573561874,2.50E-37,1.89E-40,Endothelium,4.573561874,Positive
4,DDX3Y,4.477158377,6.71E-70,6.34E-74,Endothelium,4.477158377,Positive
5,EIF1AY,4.419745283,3.57E-46,2.02E-49,Endothelium,4.419745283,Positive
6,RPS4Y1,4.219459099,1.10E-61,4.17E-65,Endothelium,4.219459099,Positive
7,USP9Y,4.134392763,3.35E-65,9.50E-69,Endothelium,4.134392763,Positive
8,NLGN4Y,3.65311082,8.44E-28,7.97E-31,Endothelium,3.65311082,Positive
9,PCDH11Y,1.641834849,7.88E-14,8.93E-17,Endothelium,1.641834849,Positive
12,DDX43,0.659667618,1.27E-06,2.52E-09,Endothelium,0.659667618,Positive
30,KDM6A,-0.466698677,7.31E-68,1.38E-71,Endothelium,0.466698677,Negative
35,EIF1AX,-0.443284118,5.09E-10,7.69E-13,Endothelium,0.443284118,Negative
47,CLIC2,-0.398558838,8.20E-09,1.47E-11,Endothelium,0.398558838,Negative
56,ZFX,-0.382206848,6.76E-28,5.74E-31,Endothelium,0.382206848,Negative
62,KDM5C,-0.370163944,7.50E-15,7.79E-18,Endothelium,0.370163944,Negative
73,PUDP,-0.35229212,1.92E-12,2.54E-15,Endothelium,0.35229212,Negative
87,DDX3X,-0.328418867,2.57E-09,4.38E-12,Endothelium,0.328418867,Negative
100,SYAP1,-0.314622251,7.54E-10,1.21E-12,Endothelium,0.314622251,Negative
124,EIF2S3,-0.299536207,1.80E-13,2.21E-16,Endothelium,0.299536207,Negative
139,PLEKHG1,-0.288700502,0.068331922,0.000193611,Endothelium,0.288700502,Negative
156,CA5B,-0.279248616,7.76E-12,1.10E-14,Endothelium,0.279248616,Negative
170,DHRSX,0.271533454,3.81E-07,7.20E-10,Endothelium,0.271533454,Positive
224,ZRSR2,-0.250510826,9.86E-06,2.14E-08,Endothelium,0.250510826,Negative
248,TXLNG,-0.241976981,0.002987317,7.34E-06,Endothelium,0.241976981,Negative
264,CD99,0.236385049,0.006507326,1.66E-05,Endothelium,0.236385049,Positive
