,cell_type,metric,FC,q_val,contrast
0,Adipocyte,euc,1.0019884494255482,0.19207585855587764,disease
1,Cardiomyocyte,euc,0.9879902080876464,0.9061636598711855,disease
2,Endocardial,euc,1.0087552142664948,0.8883595538946572,disease
3,Endothelial,euc,1.0041785005104906,0.19207585855587764,disease
4,Fibroblast,euc,0.9957379886672562,0.23160950744785821,disease
5,LEC,euc,1.007742360069323,0.5257643645167424,disease
6,Myeloid,euc,1.0059475924805044,0.5257643645167424,disease
7,Lymphoid,euc,1.00172797691772,0.19207585855587764,disease
8,Neuronal,euc,1.009904505284579,0.6128553084411034,disease
9,Pericyte,euc,0.9992486934410638,0.030654409812756123,disease
10,vSMC,euc,0.9957346693572557,0.19207585855587764,disease
11,Adipocyte,cor,1.0183709675554047,1.492476830534339,disease
12,Cardiomyocyte,cor,0.9827467797371029,1.9774630802022206,disease
13,Endocardial,cor,1.0156071993039495,1.492476830534339,disease
14,Endothelial,cor,1.0111626701561705,0.845283823479596,disease
15,Fibroblast,cor,1.0063455973461224,0.5417162098050333,disease
16,LEC,cor,1.024431621772218,2.2258123197624355,disease
17,Myeloid,cor,1.0206016701782397,1.9187284366858193,disease
18,Lymphoid,cor,1.0084364683194642,0.6852983436177519,disease
19,Neuronal,cor,1.0216439168382623,1.492476830534339,disease
20,Pericyte,cor,1.0056966378647183,0.09928566158710829,disease
21,vSMC,cor,0.9960263643796744,0.34848436777320746,disease
22,Adipocyte,scallop,1.170891752321068,0.3453736643415812,disease
23,Cardiomyocyte,scallop,1.129656073589065,0.019470616309064662,disease
24,Endocardial,scallop,1.0820961578467392,0.05147974768795188,disease
25,Endothelial,scallop,0.5183929451291911,0.3453736643415812,disease
26,Fibroblast,scallop,1.021740442192039,0.019470616309064662,disease
27,LEC,scallop,1.0939800367396348,0.05147974768795188,disease
28,Myeloid,scallop,0.8834593173033055,0.019470616309064662,disease
29,Lymphoid,scallop,0.8114837677746903,0.07507723701353188,disease
30,Neuronal,scallop,0.7375905617250814,0.3453736643415812,disease
31,Pericyte,scallop,0.7882213430318054,0.13881158467871593,disease
32,vSMC,scallop,1.306930828144936,0.05147974768795188,disease
