ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR814LMX/	ENCSR814LMX	single-cell RNA sequencing assay	snRNA-seq	tissue				Homo sapiens heart left ventricle tissue nuclear fraction male adult (31 years)	heart left ventricle			Michael Snyder, Stanford	ENCODE	released	/files/ENCFF886WKX/,/files/ENCFF969KPL/,/files/ENCFF457CTR/,/files/ENCFF492VRH/,/files/ENCFF341NTT/,/files/ENCFF147NFM/,/files/ENCFF484HHL/,/files/ENCFF179EZD/,/files/ENCFF479XRA/,/files/ENCFF978ZMM/	/multiomics-series/ENCSR954THM/	ENCBS505KRY	1	1		Homo sapiens	adult	31 years												/replicates/edd709ec-849a-4794-a8df-f5902854513f/		nucleus	10X Genomics Chromium Controller	
/experiments/ENCSR630LZS/	ENCSR630LZS	single-cell RNA sequencing assay	snRNA-seq	tissue				Homo sapiens heart left ventricle tissue nuclear fraction male adult (41 years)	heart left ventricle			Michael Snyder, Stanford	ENCODE	released	/files/ENCFF054TZP/,/files/ENCFF905JLX/,/files/ENCFF365AEX/,/files/ENCFF283JFE/,/files/ENCFF626ZGN/,/files/ENCFF810TLH/,/files/ENCFF720YOG/,/files/ENCFF813ZNI/,/files/ENCFF249IHW/,/files/ENCFF578CWA/,/files/ENCFF779VYI/,/files/ENCFF431AQJ/,/files/ENCFF249BCO/,/files/ENCFF624UUV/	/multiomics-series/ENCSR707XPP/	ENCBS835HEM	1	1		Homo sapiens	adult	41 years												/replicates/dd2d4e1d-4a37-41c1-97d0-d34986580d89/		nucleus	10X Genomics Chromium Controller	
/experiments/ENCSR012APQ/	ENCSR012APQ	single-cell RNA sequencing assay	snRNA-seq	tissue				Homo sapiens heart left ventricle tissue nuclear fraction male adult (66 years)	heart left ventricle		Please note that this experiment is part of 10x multiome and has a corresponding scATAC experiment (ENCSR668XPI).	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF955XWD/,/files/ENCFF439KKH/,/files/ENCFF295OZA/,/files/ENCFF088UOS/,/files/ENCFF094GCY/,/files/ENCFF806TDL/,/files/ENCFF696DZL/,/files/ENCFF548ZWP/,/files/ENCFF520QGO/,/files/ENCFF581BNZ/	/multiomics-series/ENCSR956ZER/	ENCBS056RAF	1	1		Homo sapiens	adult	66 years												/replicates/00999200-976a-43cc-948c-ca8ab69fa076/		nucleus	10X Genomics Chromium Controller	
/experiments/ENCSR763BII/	ENCSR763BII	single-cell RNA sequencing assay	snRNA-seq	tissue				Homo sapiens heart left ventricle tissue nuclear fraction female adult (42 years)	heart left ventricle			Michael Snyder, Stanford	ENCODE	released	/files/ENCFF249CVG/,/files/ENCFF972KER/,/files/ENCFF087ARR/,/files/ENCFF225BZI/,/files/ENCFF194CQB/,/files/ENCFF956VBJ/,/files/ENCFF557LNG/,/files/ENCFF920FOR/,/files/ENCFF105ZHH/,/files/ENCFF339CSE/,/files/ENCFF568KOS/,/files/ENCFF385IHV/,/files/ENCFF749VWC/,/files/ENCFF908GVD/	/multiomics-series/ENCSR487MGY/	ENCBS528MOI	1	1		Homo sapiens	adult	42 years												/replicates/d2f2af95-ce91-4325-824a-6e36188f140c/		nucleus	10X Genomics Chromium Controller	
/experiments/ENCSR002SMQ/	ENCSR002SMQ	single-cell RNA sequencing assay	snRNA-seq	tissue				Homo sapiens heart left ventricle tissue nuclear fraction male adult (68 years)	heart left ventricle			Michael Snyder, Stanford	ENCODE	released	/files/ENCFF710ZJC/,/files/ENCFF043SEJ/,/files/ENCFF105CUE/,/files/ENCFF314EKW/,/files/ENCFF289XTC/,/files/ENCFF451UNJ/,/files/ENCFF254LAL/,/files/ENCFF214JSW/,/files/ENCFF826RZB/,/files/ENCFF234CLO/,/files/ENCFF500LDR/,/files/ENCFF556ZXH/,/files/ENCFF387NNB/,/files/ENCFF431EOG/	/multiomics-series/ENCSR305JVN/	ENCBS210THB	1	1		Homo sapiens	adult	68 years												/replicates/563d07f5-149c-4466-b1f4-4dba1ac7a61c/		nucleus	10X Genomics Chromium Controller	
/experiments/ENCSR540DHJ/	ENCSR540DHJ	single-cell RNA sequencing assay	snRNA-seq	tissue				Homo sapiens heart left ventricle tissue nuclear fraction female adult (53 years)	heart left ventricle			Michael Snyder, Stanford	ENCODE	released	/files/ENCFF481AWA/,/files/ENCFF445XRD/,/files/ENCFF317GQX/,/files/ENCFF177GGI/,/files/ENCFF365CRH/,/files/ENCFF014OUA/,/files/ENCFF238CEH/,/files/ENCFF402DHE/,/files/ENCFF282IQM/,/files/ENCFF666XBU/,/files/ENCFF672RPX/,/files/ENCFF854DXZ/,/files/ENCFF579UEY/,/files/ENCFF522UBU/	/multiomics-series/ENCSR535LSU/	ENCBS775ZAT	1	1		Homo sapiens	adult	53 years												/replicates/e1e61a3b-1519-4d38-8e27-930ea019270c/		nucleus	10X Genomics Chromium Controller	
/experiments/ENCSR654MFX/	ENCSR654MFX	single-cell RNA sequencing assay	snRNA-seq	tissue				Homo sapiens heart left ventricle tissue nuclear fraction male adult (58 years)	heart left ventricle			Michael Snyder, Stanford	ENCODE	released	/files/ENCFF818XLR/,/files/ENCFF161ZOQ/,/files/ENCFF550LUQ/,/files/ENCFF943GZD/,/files/ENCFF852DCT/,/files/ENCFF648CYQ/,/files/ENCFF454JZJ/,/files/ENCFF769IUO/,/files/ENCFF865YQD/,/files/ENCFF136RNL/,/files/ENCFF238ACZ/,/files/ENCFF133YDF/,/files/ENCFF246ZUF/,/files/ENCFF757EEE/	/multiomics-series/ENCSR529JMP/	ENCBS554YCY	1	1		Homo sapiens	adult	58 years												/replicates/758e861c-163d-4565-b108-7c6966b2d276/		nucleus	10X Genomics Chromium Controller	
/experiments/ENCSR237HWJ/	ENCSR237HWJ	single-cell RNA sequencing assay	snRNA-seq	tissue				Homo sapiens heart left ventricle tissue nuclear fraction male adult (64 years)	heart left ventricle			Michael Snyder, Stanford	ENCODE	released	/files/ENCFF861ZPX/,/files/ENCFF391XAH/,/files/ENCFF162DBO/,/files/ENCFF296RYP/,/files/ENCFF327UPU/,/files/ENCFF654SGM/,/files/ENCFF351UZO/,/files/ENCFF669DJS/,/files/ENCFF119LTG/,/files/ENCFF806JUB/	/multiomics-series/ENCSR371YIY/	ENCBS667KWK	1	1		Homo sapiens	adult	64 years												/replicates/0cd4dc1b-ee1c-4be5-b857-e6be7e3cffbc/		nucleus	10X Genomics Chromium Controller	
/experiments/ENCSR008CVR/	ENCSR008CVR	single-cell RNA sequencing assay	snRNA-seq	tissue				Homo sapiens heart left ventricle tissue nuclear fraction male adult (67 years)	heart left ventricle			Michael Snyder, Stanford	ENCODE	released	/files/ENCFF796XBA/,/files/ENCFF776MNW/,/files/ENCFF848ZCN/,/files/ENCFF045XCZ/,/files/ENCFF634DMS/,/files/ENCFF669SSN/,/files/ENCFF138OZS/,/files/ENCFF965HWU/,/files/ENCFF903LZD/,/files/ENCFF377ZNX/,/files/ENCFF588EOL/,/files/ENCFF279AOM/,/files/ENCFF093GHP/,/files/ENCFF726RHO/	/multiomics-series/ENCSR056LAM/	ENCBS753VJH	1	1		Homo sapiens	adult	67 years												/replicates/cd5816a2-2621-4fe5-8520-a8fd6808c37a/		nucleus	10X Genomics Chromium Controller	
/experiments/ENCSR273JWD/	ENCSR273JWD	single-cell RNA sequencing assay	snRNA-seq	tissue				Homo sapiens heart left ventricle tissue nuclear fraction male adult (39 years)	heart left ventricle			Michael Snyder, Stanford	ENCODE	released	/files/ENCFF864ILT/,/files/ENCFF581IBO/,/files/ENCFF687VPX/,/files/ENCFF831YBR/,/files/ENCFF606KBS/,/files/ENCFF141KID/,/files/ENCFF030TKW/,/files/ENCFF128TKX/,/files/ENCFF137QKK/,/files/ENCFF322INV/,/files/ENCFF720QFR/,/files/ENCFF542TGC/,/files/ENCFF568GHX/,/files/ENCFF839GRA/	/multiomics-series/ENCSR623PHF/	ENCBS671QYO	1	1		Homo sapiens	adult	39 years												/replicates/962b61e3-db75-450f-8436-8de5e4440b20/		nucleus	10X Genomics Chromium Controller	
