,sample,prop_fetalization_spots,fetal_Moran,fetal_Moran_p,region,study,diseased_region
0,Visium_IZ_P10,15.798134942402632,0.2045087296029085,7.597754168269703e-103,IZ,Kuppe 2022,Y
1,Visium_control_P1,2.834387444366362,0.3222171884361035,9.148070825477057e-295,control,Kuppe 2022,N
2,Visium_RZ_BZ_P3,0.6653788366602276,0.3735908292535487,0.0,RZ_BZ,Kuppe 2022,N
3,Visium_RZ_P11,2.5297619047619047,0.2923066903215986,3.929178080908046e-117,RZ,Kuppe 2022,N
4,Visium_control_P8,0.4071661237785016,0.2745920628784111,3.686842770692613e-125,control,Kuppe 2022,N
5,Visium_RZ_BZ_P12,0.5011792452830188,0.4529908820950246,0.0,RZ_BZ,Kuppe 2022,N
6,Visium_IZ_P15,40.99902692182938,0.2910238428302836,2.227865692371317e-175,IZ,Kuppe 2022,Y
7,Visium_GT_IZ_P13,32.592592592592595,0.322616032771217,5.221673807038845e-135,GT_IZ,Kuppe 2022,Y
8,Visium_FZ_P20,59.75103734439834,0.5233731100882694,0.0,FZ,Kuppe 2022,Y
9,Visium_IZ_P3,1.0607265977194378,0.641031828620271,0.0,IZ,Kuppe 2022,Y
10,Visium_control_P7,3.95769361992494,0.2007320081649681,2.4686026278758628e-80,control,Kuppe 2022,N
11,Visium_RZ_FZ_P5,16.677482154445165,0.4567368236435579,0.0,RZ_FZ,Kuppe 2022,N
12,Visium_FZ_P18,65.97412779302235,0.5715191438873113,0.0,FZ,Kuppe 2022,Y
13,Visium_RZ_P6,1.0619977037887485,0.2416787578533483,6.687649904660925e-137,RZ,Kuppe 2022,N
14,Visium_control_P17,0.0978952520802741,0.295658607141453,2.3082194970715566e-121,control,Kuppe 2022,N
15,Visium_RZ_GT_P2,5.370265686828716,0.1838864836631775,1.979144781758337e-81,RZ_GT,Kuppe 2022,N
16,Visium_RZ_BZ_P2,0.5632967684553809,0.3733121182505182,0.0,RZ_BZ,Kuppe 2022,N
17,Visium_IZ_BZ_P2,26.62384011420414,0.5305326652894649,0.0,IZ_BZ,Kuppe 2022,Y
18,Visium_RZ_P3,0.0334001336005344,0.3083298361676814,2.599005547014284e-192,RZ,Kuppe 2022,N
19,Visium_GT_IZ_P9,7.108461362072919,0.4828620000182648,0.0,GT_IZ,Kuppe 2022,Y
20,Visium_FZ_GT_P19,82.96774193548387,0.388071427397379,0.0,FZ_GT,Kuppe 2022,Y
21,Visium_FZ_P14,27.2755905511811,0.6139513296799926,0.0,FZ,Kuppe 2022,Y
22,Visium_GT_IZ_P9_rep2,9.336250911743251,0.42499936669407,0.0,GT_IZ,Kuppe 2022,Y
23,Visium_IZ_P16,23.884998157021748,0.5317763212909611,0.0,IZ,Kuppe 2022,Y
24,Visium_FZ_GT_P4,8.182459440395014,0.2792316767580471,6.038052128929477e-223,FZ_GT,Kuppe 2022,Y
25,Visium_RZ_P9,0.6067291781577496,0.3366282925594923,2.0500896362260487e-273,RZ,Kuppe 2022,N
26,Visium_GT_IZ_P15,17.69316909294513,0.2771215849133609,1.727018180365185e-183,GT_IZ,Kuppe 2022,Y
0,HCAHeartST8795933,0.6309235558630232,0.2908082896385651,5.179801683300151e-165,control,Kanemaru 2023,N
1,HCAHeartST9383352,0.4287610619469026,0.0816372611091898,6.455364867673807e-12,control,Kanemaru 2023,N
2,HCAHeartST9383354,0.4249879401833092,0.1297867505256288,2.481829211613555e-25,control,Kanemaru 2023,N
3,HCAHeartST9383356,0.3173241852487135,0.0229987024899184,0.1463071121095721,control,Kanemaru 2023,N
4,HCAHeartST9383358,0.1666666666666666,0.0326857514209497,0.0359425875007702,control,Kanemaru 2023,N
