Chromosome,Start,End,Number of healthy samples with peak (out of 26 total),Overlaps validated VISTA heart enhancer
chr1,836153,837500,6,.
chr1,864654,866686,12,.
chr1,1004411,1006406,7,.
chr1,1022693,1026419,2,.
chr1,1079279,1081182,12,.
chr1,1131635,1135980,8,.
chr1,1155272,1160411,26,.
chr1,1181664,1183950,4,.
chr1,1258643,1262473,4,.
chr1,1351336,1353076,3,.
chr1,1380891,1384383,4,.
chr1,1503861,1507213,18,.
chr1,1507645,1509730,10,.
chr1,1531923,1537253,10,.
chr1,1550204,1551515,3,.
chr1,1553293,1555661,2,.
chr1,1561817,1568296,4,.
chr1,1619434,1621740,2,.
chr1,1677431,1679836,16,.
chr1,1728511,1729669,6,.
chr1,1785849,1792148,5,.
chr1,1805358,1809868,5,.
chr1,1838666,1851573,20,.
chr1,1851593,1877021,26,.
chr1,1893934,1895308,2,.
chr1,1904971,1911541,25,.
chr1,2024735,2027417,11,.
chr1,2187790,2193038,2,.
chr1,2224358,2227691,9,.
chr1,2239375,2245029,5,.
chr1,2250035,2261758,17,.
chr1,2264649,2280678,18,.
chr1,2287817,2302520,19,.
chr1,2307659,2324737,22,.
chr1,2352314,2354067,8,.
chr1,2574633,2580410,21,.
chr1,2640031,2644468,25,.
chr1,3076116,3086315,10,.
chr1,3089053,3107104,14,.
chr1,3109130,3140135,21,.
chr1,3168308,3177627,23,.
chr1,3179228,3201807,21,.
chr1,3216152,3222924,7,.
chr1,3273902,3278325,12,.
chr1,3281496,3297803,24,.
chr1,3311152,3316998,9,.
chr1,3318549,3341129,22,.
chr1,3343441,3363801,26,yes
chr1,3363976,3373981,21,.
chr1,3391443,3395461,10,.
chr1,3402065,3403707,4,.
chr1,3412009,3419861,25,.
chr1,3456664,3461642,4,.
chr1,3537965,3543939,9,.
chr1,3668480,3670181,4,.
chr1,3718725,3721847,4,.
chr1,3735173,3738217,7,.
chr1,3745002,3748367,23,.
chr1,4512016,4514290,6,.
